camera,camera_indicator,total_apps,running_process,total_apps_with_internet_permission,upload_rate,download_rate,firewall_stat,malicious_website_visits,running_process_with_all_permission,malicious_stat,risk_factor
1,0,16,10,11,52,351,1,0,3,1,medium
0,0,16,4,11,165,368,1,1,3,0,low
1,0,16,3,11,160,125,0,0,2,0,medium
1,1,16,4,11,24,51,0,0,3,0,medium
0,0,16,7,11,177,35,0,0,3,0,medium
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,8,11,8,452,0,1,3,0,medium
0,0,16,6,11,22,111,1,1,3,0,low
1,0,16,2,11,143,230,1,0,3,0,medium
1,1,16,3,11,92,282,0,1,0,0,medium
1,0,16,4,11,108,6,0,0,1,1,medium
1,1,16,6,11,97,214,1,1,0,0,low
0,0,16,4,11,31,315,0,1,3,1,medium
1,0,16,10,11,72,371,0,1,2,1,high
1,0,16,8,11,14,250,0,1,1,1,high
0,0,16,8,11,187,187,0,0,2,0,medium
0,0,16,0,11,0,0,1,0,0,0,low
1,0,16,5,11,141,475,0,1,0,0,medium
1,1,16,10,11,4,408,1,1,3,0,low
1,0,16,8,11,57,58,0,0,0,1,medium
1,1,16,1,11,75,228,0,1,1,1,medium
1,0,16,4,11,58,255,0,1,1,1,high
0,0,16,9,11,155,336,1,0,1,0,low
0,0,16,2,11,180,336,0,1,0,0,medium
0,0,16,10,11,26,309,1,1,3,0,low
1,0,16,5,11,22,94,1,1,0,0,medium
1,1,16,8,11,22,261,1,1,3,0,low
1,0,16,4,11,40,6,0,0,1,0,medium
1,0,16,5,11,162,304,0,0,1,0,medium
0,0,16,6,11,145,436,0,0,1,0,medium
0,0,16,10,11,0,424,0,0,1,0,medium
0,0,16,6,11,2,236,0,0,1,1,medium
1,0,16,10,11,199,302,0,0,3,1,medium
1,1,16,5,11,55,458,0,1,1,0,medium
0,0,16,6,11,109,139,1,1,0,0,low
1,1,16,1,11,83,354,0,0,2,1,medium
1,0,16,1,11,160,217,0,1,0,1,medium
0,0,16,0,11,0,0,0,0,0,1,medium
0,0,16,4,11,163,377,0,0,2,1,medium
0,0,16,7,11,12,16,1,1,2,0,low
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,8,11,152,136,0,1,2,0,medium
0,0,16,4,11,61,282,1,0,0,0,low
1,1,16,3,11,163,171,0,1,2,0,medium
0,0,16,8,11,101,96,1,1,1,0,low
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,0,11,0,0,0,0,0,0,medium
0,0,16,1,11,111,143,1,1,3,0,low
1,1,16,4,11,155,23,1,0,2,0,low
0,0,16,2,11,160,161,0,0,0,0,medium
0,0,16,7,11,185,25,1,0,2,0,low
0,0,16,1,11,168,390,0,1,3,1,medium
0,0,16,1,11,50,273,1,1,0,0,low
0,0,16,5,11,196,7,1,0,1,0,low
1,0,16,9,11,1,342,0,1,0,0,medium
1,0,16,5,11,78,481,1,1,2,0,medium
0,0,16,2,11,2,239,0,0,1,1,medium
0,0,16,1,11,51,159,1,0,0,0,low
1,0,16,2,11,145,133,1,0,2,0,medium
0,0,16,3,11,75,169,0,1,1,0,medium
1,0,16,8,11,138,307,1,0,2,0,medium
1,1,16,9,11,116,36,0,0,1,1,medium
0,0,16,10,11,169,428,0,0,1,1,medium
0,0,16,0,11,0,0,0,0,0,1,medium
1,0,16,2,11,34,148,0,0,3,1,medium
0,0,16,4,11,132,37,1,1,2,0,low
1,0,16,8,11,42,293,0,1,2,1,high
1,1,16,7,11,58,349,0,0,0,0,medium
1,0,16,1,11,0,197,0,1,1,1,high
0,0,16,8,11,125,5,0,1,0,1,medium
0,0,16,0,11,0,0,0,0,0,1,medium
1,1,16,1,11,30,475,1,1,1,0,low
0,0,16,8,11,7,185,0,0,1,1,medium
0,0,16,3,11,43,345,0,1,0,0,medium
0,0,16,4,11,30,148,1,0,0,0,low
1,0,16,6,11,16,35,1,1,2,1,medium
0,0,16,0,11,0,0,1,0,0,0,low
1,1,16,8,11,34,300,0,0,2,0,medium
0,0,16,5,11,190,37,0,0,3,0,medium
1,1,16,4,11,7,296,1,0,3,0,low
0,0,16,2,11,139,194,0,1,3,0,medium
1,1,16,9,11,74,161,0,0,1,1,medium
0,0,16,7,11,132,347,0,1,1,0,medium
1,1,16,5,11,162,396,1,1,1,0,low
1,1,16,8,11,16,149,1,1,1,0,low
1,1,16,8,11,42,203,0,1,3,1,medium
0,0,16,8,11,76,305,1,0,2,0,low
0,0,16,1,11,170,450,0,1,2,0,medium
1,0,16,10,11,3,61,0,0,2,1,medium
1,1,16,8,11,195,424,0,1,0,0,medium
1,0,16,6,11,22,381,1,0,3,1,medium
0,0,16,3,11,139,164,0,1,1,1,medium
1,1,16,6,11,64,152,0,0,3,1,medium
1,1,16,1,11,111,202,1,1,1,0,low
0,0,16,5,11,77,275,0,1,3,1,medium
1,0,16,2,11,5,406,0,1,1,1,high
0,0,16,2,11,180,49,0,1,3,0,medium
1,1,16,1,11,34,25,0,1,1,1,medium
0,0,16,6,11,99,455,1,1,3,0,low
1,1,16,4,11,18,423,0,1,2,1,medium
0,0,16,4,11,142,336,0,1,2,0,medium
1,0,16,10,11,48,248,1,1,3,0,medium
0,0,16,10,11,89,331,0,1,3,1,medium
0,0,16,5,11,33,320,1,1,0,0,low
0,0,16,10,11,39,444,1,0,1,0,low
0,0,16,6,11,173,107,0,0,0,1,medium
1,1,16,8,11,58,77,1,1,2,0,low
0,0,16,6,11,34,55,0,0,1,1,medium
0,0,16,6,11,167,207,1,0,0,0,low
1,0,16,9,11,179,222,1,0,0,0,medium
0,0,16,3,11,155,49,1,0,3,0,low
0,0,16,1,11,71,313,0,1,2,0,medium
1,1,16,2,11,62,9,0,1,0,0,medium
1,0,16,7,11,36,432,0,1,0,1,medium
0,0,16,9,11,142,245,1,1,0,0,low
0,0,16,1,11,173,382,1,1,2,0,low
1,1,16,9,11,91,218,0,1,0,1,medium
1,1,16,5,11,80,61,1,0,1,0,low
0,0,16,9,11,130,270,0,1,0,0,medium
0,0,16,10,11,2,163,1,1,2,0,low
1,0,16,8,11,110,110,1,1,0,1,medium
1,0,16,3,11,150,89,0,0,1,0,medium
1,0,16,6,11,13,103,1,1,1,0,medium
0,0,16,6,11,153,302,0,1,3,1,medium
1,1,16,10,11,171,195,1,0,0,0,low
1,1,16,1,11,70,452,1,0,1,0,low
0,0,16,2,11,175,193,1,0,2,0,low
0,0,16,6,11,195,306,1,0,0,0,low
1,0,16,8,11,5,208,0,0,1,1,medium
0,0,16,7,11,171,150,0,0,2,0,medium
1,1,16,4,11,111,340,0,1,3,0,medium
1,1,16,1,11,65,405,0,1,2,0,medium
1,0,16,4,11,189,135,0,0,0,0,medium
0,0,16,1,11,59,442,1,0,3,0,low
1,0,16,8,11,10,311,0,0,3,1,medium
0,0,16,10,11,21,468,1,0,3,0,low
0,0,16,1,11,92,224,1,0,0,0,low
1,1,16,5,11,65,477,0,1,1,0,medium
0,0,16,4,11,189,171,0,1,2,0,medium
0,0,16,4,11,96,88,0,0,3,1,medium
0,0,16,4,11,31,260,1,1,0,0,low
1,0,16,4,11,19,249,0,1,3,1,high
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,4,11,194,492,1,1,2,0,low
0,0,16,4,11,107,145,1,0,2,0,low
1,1,16,2,11,30,471,0,1,1,0,medium
0,0,16,9,11,193,322,0,0,2,0,medium
0,0,16,6,11,2,227,1,1,2,0,low
0,0,16,1,11,51,40,1,0,2,0,low
0,0,16,2,11,45,96,1,0,2,0,low
0,0,16,7,11,65,10,1,0,0,0,low
1,0,16,3,11,170,347,0,0,3,1,medium
0,0,16,5,11,36,133,1,1,0,0,low
0,0,16,6,11,56,439,1,1,0,0,low
0,0,16,6,11,38,262,1,1,1,0,low
0,0,16,4,11,196,19,1,0,1,0,low
1,0,16,3,11,22,21,0,1,1,1,high
0,0,16,1,11,83,423,0,1,3,0,medium
0,0,16,3,11,178,167,0,1,0,1,medium
0,0,16,9,11,45,498,0,1,0,0,medium
0,0,16,2,11,126,91,1,1,1,0,low
1,1,16,8,11,31,431,0,1,3,1,medium
0,0,16,6,11,0,205,0,1,3,1,medium
1,1,16,1,11,68,234,1,1,1,0,low
1,1,16,3,11,35,344,1,0,3,0,low
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,7,11,67,171,1,0,2,0,low
1,0,16,7,11,58,414,1,0,0,0,medium
1,1,16,7,11,113,81,1,1,0,0,low
0,0,16,7,11,116,289,0,1,3,0,medium
0,0,16,8,11,169,383,0,0,0,0,medium
0,0,16,9,11,33,284,0,0,0,0,medium
0,0,16,0,11,0,0,0,0,0,0,medium
1,0,16,1,11,58,188,1,1,2,0,medium
1,0,16,2,11,145,277,1,1,2,1,medium
1,0,16,6,11,176,129,0,0,3,1,medium
1,0,16,2,11,161,148,1,0,3,0,medium
1,1,16,7,11,112,480,1,0,3,0,low
1,0,16,7,11,52,348,1,0,3,1,medium
0,0,16,4,11,167,468,1,0,1,0,low
1,0,16,9,11,64,142,1,0,3,0,medium
0,0,16,0,11,0,0,0,0,0,1,medium
0,0,16,8,11,38,65,1,1,3,0,low
0,0,16,3,11,20,423,1,0,3,0,low
1,1,16,4,11,40,80,1,0,0,0,low
0,0,16,2,11,169,11,0,0,1,1,medium
0,0,16,2,11,166,481,0,1,2,0,medium
1,0,16,9,11,122,18,1,0,0,1,medium
1,1,16,4,11,198,487,0,0,1,0,medium
1,1,16,1,11,2,97,1,1,2,0,low
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,7,11,55,217,1,1,0,0,low
0,0,16,3,11,177,309,1,1,2,0,low
0,0,16,5,11,169,464,1,1,3,0,low
0,0,16,5,11,14,389,0,1,1,1,medium
0,0,16,0,11,0,0,0,0,0,1,medium
1,0,16,1,11,40,278,1,1,1,0,medium
0,0,16,8,11,35,68,0,1,0,0,medium
0,0,16,0,11,0,0,1,0,0,0,low
1,1,16,8,11,18,195,1,0,0,0,low
0,0,16,5,11,85,399,0,0,1,0,medium
1,1,16,3,11,9,41,1,1,2,0,low
1,0,16,4,11,109,37,1,1,3,1,medium
1,0,16,5,11,1,405,1,0,2,0,medium
0,0,16,6,11,143,321,0,1,1,1,medium
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,3,11,84,222,1,0,2,0,low
0,0,16,9,11,197,388,1,0,0,0,low
0,0,16,0,11,0,0,0,0,0,1,medium
1,0,16,7,11,178,286,1,0,2,0,medium
1,0,16,8,11,122,297,1,1,1,0,medium
1,0,16,1,11,181,402,1,1,0,0,medium
1,1,16,4,11,32,490,1,0,3,0,low
1,1,16,6,11,95,83,1,1,1,0,low
1,1,16,8,11,97,61,1,1,0,0,low
1,0,16,6,11,168,426,0,1,0,0,medium
0,0,16,7,11,142,120,0,0,1,0,medium
1,1,16,4,11,182,151,0,1,0,1,medium
1,0,16,1,11,97,190,1,0,1,0,medium
1,1,16,10,11,179,432,0,1,3,1,medium
1,0,16,2,11,69,327,1,0,0,0,medium
1,1,16,9,11,111,252,0,1,2,1,medium
0,0,16,4,11,145,374,0,0,3,1,medium
0,0,16,0,11,0,0,0,0,0,0,medium
0,0,16,6,11,169,181,1,1,1,0,low
0,0,16,8,11,13,269,1,0,2,0,low
0,0,16,10,11,95,410,0,1,3,1,medium
0,0,16,10,11,102,29,0,0,2,0,medium
1,0,16,5,11,148,469,1,1,1,0,medium
1,0,16,4,11,195,203,1,0,2,0,medium
1,1,16,2,11,95,179,0,0,1,1,medium
1,0,16,8,11,93,105,0,1,3,1,high
1,1,16,10,11,13,329,1,1,1,0,low
0,0,16,4,11,171,338,0,0,2,1,medium
1,1,16,9,11,75,16,1,0,0,0,low
1,0,16,10,11,23,154,1,0,0,0,medium
0,0,16,7,11,104,291,0,1,2,0,medium
0,0,16,2,11,120,228,0,1,1,0,medium
1,0,16,6,11,47,485,0,1,1,1,high
0,0,16,10,11,80,384,1,0,1,0,low
0,0,16,0,11,0,0,0,0,0,0,medium
1,0,16,8,11,109,406,0,0,1,0,medium
1,0,16,1,11,87,128,0,1,0,0,medium
1,1,16,6,11,18,232,0,1,3,0,medium
0,0,16,8,11,157,456,1,1,1,0,low
1,1,16,5,11,83,34,0,0,0,1,medium
0,0,16,7,11,161,355,0,1,3,0,medium
0,0,16,2,11,186,426,1,1,0,0,low
1,0,16,1,11,45,60,1,0,2,1,medium
0,0,16,0,11,0,0,1,0,0,0,low
1,1,16,3,11,17,151,1,0,2,0,low
0,0,16,10,11,67,223,0,0,2,1,medium
1,0,16,8,11,73,269,0,1,1,1,high
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,4,11,98,186,1,0,2,0,low
1,0,16,5,11,61,437,0,1,1,1,high
0,0,16,2,11,172,185,1,1,3,0,low
0,0,16,0,11,0,0,1,0,0,0,low
1,1,16,5,11,127,282,0,0,2,1,medium
1,1,16,10,11,142,260,1,0,3,0,low
0,0,16,0,11,0,0,1,0,0,0,low
1,0,16,5,11,26,478,1,1,2,0,medium
0,0,16,4,11,27,311,1,0,0,0,low
1,1,16,7,11,114,94,0,0,1,1,medium
1,1,16,1,11,13,393,1,1,2,0,low
0,0,16,8,11,150,310,0,0,1,0,medium
0,0,16,0,11,0,0,1,0,0,0,low
1,1,16,9,11,184,2,1,1,2,0,low
0,0,16,5,11,189,322,0,0,0,0,medium
0,0,16,8,11,66,374,1,0,3,0,low
0,0,16,3,11,15,302,1,0,0,0,low
1,0,16,6,11,42,152,0,1,1,1,high
0,0,16,4,11,187,282,1,0,3,0,low
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,2,11,125,152,1,1,0,0,low
0,0,16,7,11,164,235,1,0,2,0,low
0,0,16,7,11,45,307,0,1,0,1,medium
1,1,16,4,11,80,256,0,1,0,0,medium
0,0,16,6,11,115,344,0,0,3,1,medium
0,0,16,9,11,127,138,1,0,0,0,low
1,0,16,10,11,55,479,1,0,2,1,medium
0,0,16,4,11,76,50,1,1,2,0,low
0,0,16,0,11,0,0,0,0,0,1,medium
0,0,16,7,11,196,130,1,1,1,0,low
1,1,16,3,11,20,456,1,0,0,0,low
1,1,16,9,11,133,103,0,0,3,1,medium
1,0,16,3,11,20,376,0,0,3,1,medium
0,0,16,0,11,0,0,1,0,0,0,low
1,0,16,9,11,66,179,1,1,2,1,medium
1,0,16,7,11,194,285,0,0,3,1,medium
1,1,16,10,11,3,372,0,0,1,0,medium
0,0,16,3,11,27,18,1,1,1,0,low
0,0,16,0,11,0,0,0,0,0,1,medium
0,0,16,10,11,75,463,0,0,0,1,medium
0,0,16,0,11,0,0,1,0,0,0,low
1,0,16,4,11,66,194,0,0,1,0,medium
1,1,16,2,11,197,183,1,0,0,0,low
1,1,16,1,11,154,11,1,1,3,0,low
0,0,16,1,11,138,113,1,1,3,0,low
1,0,16,4,11,18,116,1,0,2,1,medium
0,0,16,0,11,0,0,1,0,0,0,low
1,1,16,4,11,57,31,1,1,2,0,low
0,0,16,5,11,111,57,1,1,0,0,low
0,0,16,7,11,70,61,1,0,2,0,low
0,0,16,10,11,105,429,1,1,0,0,low
0,0,16,8,11,146,107,1,1,2,0,low
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,3,11,53,391,1,0,3,0,low
0,0,16,1,11,181,389,0,0,2,0,medium
0,0,16,8,11,77,172,1,1,0,0,low
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,10,11,6,380,0,1,3,0,medium
1,0,16,7,11,32,450,1,0,0,1,medium
1,1,16,4,11,5,103,1,1,3,0,low
0,0,16,7,11,93,235,1,1,3,0,low
1,0,16,2,11,69,244,1,1,1,0,medium
0,0,16,9,11,147,364,1,0,2,0,low
1,1,16,4,11,14,358,0,0,1,1,medium
0,0,16,6,11,127,174,1,0,2,0,low
0,0,16,3,11,188,283,0,1,2,0,medium
1,1,16,7,11,64,62,0,0,2,1,medium
1,0,16,7,11,20,475,0,0,1,0,medium
0,0,16,2,11,198,158,0,0,1,0,medium
0,0,16,4,11,119,254,0,0,0,0,medium
0,0,16,9,11,153,106,1,0,3,0,low
1,1,16,5,11,156,222,1,0,2,0,low
0,0,16,1,11,108,272,1,0,3,0,low
1,0,16,7,11,173,145,1,0,0,1,medium
1,0,16,4,11,119,266,0,0,1,0,medium
0,0,16,8,11,149,442,0,0,1,0,medium
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,8,11,179,99,0,1,3,0,medium
0,0,16,0,11,0,0,0,0,0,0,medium
1,1,16,7,11,1,422,1,0,3,0,low
1,0,16,9,11,164,181,0,0,1,0,medium
0,0,16,5,11,194,100,0,0,2,0,medium
0,0,16,5,11,164,482,1,0,2,0,low
1,0,16,10,11,161,33,0,1,2,1,high
0,0,16,5,11,22,399,0,0,0,0,medium
1,1,16,10,11,20,162,1,0,3,0,low
1,0,16,2,11,159,53,0,0,1,1,medium
1,1,16,4,11,123,259,0,1,0,0,medium
1,1,16,5,11,173,451,1,1,0,0,low
1,0,16,10,11,16,30,1,0,2,1,medium
0,0,16,7,11,66,392,0,0,0,1,medium
1,0,16,10,11,16,22,1,0,2,1,medium
0,0,16,0,11,0,0,0,0,0,0,medium
0,0,16,7,11,141,78,1,0,3,0,low
1,0,16,7,11,76,409,0,1,0,0,medium
0,0,16,8,11,20,350,1,0,0,0,low
0,0,16,5,11,99,420,0,0,0,1,medium
1,0,16,10,11,72,364,1,1,1,1,medium
1,1,16,7,11,44,59,0,0,0,0,medium
0,0,16,10,11,48,239,0,1,2,1,medium
0,0,16,8,11,194,446,1,1,0,0,low
1,1,16,2,11,29,131,0,1,1,1,medium
1,0,16,4,11,168,38,0,1,2,1,high
1,1,16,10,11,73,90,1,1,1,0,low
1,0,16,6,11,148,446,0,1,3,1,high
0,0,16,10,11,63,313,1,1,0,0,low
0,0,16,4,11,13,359,0,0,1,1,medium
1,1,16,3,11,112,331,0,1,0,0,medium
0,0,16,0,11,0,0,0,0,0,0,medium
0,0,16,3,11,75,98,0,0,1,1,medium
0,0,16,4,11,174,224,1,0,3,0,low
0,0,16,10,11,80,496,1,1,2,0,low
0,0,16,6,11,200,123,0,0,0,0,medium
1,1,16,9,11,67,491,0,0,3,0,medium
0,0,16,3,11,174,500,0,1,2,0,medium
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,0,11,0,0,0,0,0,0,medium
1,0,16,1,11,131,231,1,0,2,0,medium
1,0,16,10,11,116,495,0,0,2,0,medium
